variant,loop,operator_order,attention_relative_update,mlp_relative_update,operator_defect,full_relative_update,update_cosine_to_previous_update,directional_diversity
fixed_ma,1,mlp_attention,1.6297838687896729,1.693674087524414,2.2511134147644043,6.87303352355957,0.0,0.6873315572738647
fixed_ma,2,mlp_attention,0.504043459892273,0.49511823058128357,0.22648337483406067,0.15331873297691345,-0.08127256482839584,0.6489531397819519
fixed_ma,3,mlp_attention,0.4803195595741272,0.5119389891624451,0.2133878469467163,0.1251986026763916,0.9805336594581604,0.6121467351913452
fixed_ma,4,mlp_attention,0.4606049656867981,0.5239776372909546,0.20761966705322266,0.1015852689743042,0.9849198460578918,0.5824422836303711
fixed_ma,5,mlp_attention,0.44588595628738403,0.5317547917366028,0.20570018887519836,0.08253083378076553,0.987725019454956,0.5608165860176086
fixed_ma,6,mlp_attention,0.4355001151561737,0.5362722277641296,0.20523591339588165,0.0674552172422409,0.9895251989364624,0.5461739897727966
fixed_ma,7,mlp_attention,0.42847514152526855,0.5385246276855469,0.2051476240158081,0.05562128126621246,0.9907600283622742,0.536824643611908
fixed_ma,8,mlp_attention,0.42392706871032715,0.5393222570419312,0.20508897304534912,0.04633602872490883,0.9916942119598389,0.5311585664749146
fixed_ma,9,mlp_attention,0.4211581349372864,0.5392518043518066,0.20499877631664276,0.039019133895635605,0.992447018623352,0.5278756618499756
fixed_ma,10,mlp_attention,0.4196418821811676,0.538718044757843,0.20490646362304688,0.033214326947927475,0.9930485486984253,0.5260192155838013
fixed_ma,11,mlp_attention,0.4189896285533905,0.5379829406738281,0.20485225319862366,0.02857610210776329,0.9935020804405212,0.5249310731887817
fixed_ma,12,mlp_attention,0.418917179107666,0.5372073650360107,0.20485077798366547,0.02484755963087082,0.9938231706619263,0.5241872072219849
fixed_ma,13,mlp_attention,0.4192177355289459,0.5364832878112793,0.2049117088317871,0.021837379783391953,0.9940485954284668,0.52353435754776
fixed_ma,14,mlp_attention,0.41974136233329773,0.5358544588088989,0.20502333343029022,0.01940043829381466,0.9942303895950317,0.5228370428085327
fixed_ma,15,mlp_attention,0.4203815460205078,0.5353350043296814,0.20517735183238983,0.017424076795578003,0.994420051574707,0.5220375061035156
fixed_ma,16,mlp_attention,0.42106372117996216,0.5349265933036804,0.20535822212696075,0.01581832766532898,0.9946587085723877,0.5211268067359924
fixed_ma,17,mlp_attention,0.4217406213283539,0.5346163511276245,0.20555053651332855,0.014510015025734901,0.9949631094932556,0.5201215744018555
fixed_ma,18,mlp_attention,0.42238059639930725,0.5343891978263855,0.20574776828289032,0.013439650647342205,0.9953287839889526,0.5190519094467163
fixed_ma,19,mlp_attention,0.42296528816223145,0.5342331528663635,0.20593972504138947,0.012558797374367714,0.9957368969917297,0.5179517865180969
fixed_ma,20,mlp_attention,0.423488050699234,0.5341275334358215,0.2061215192079544,0.011828268878161907,0.9961602687835693,0.5168534517288208
